50
0.000000 0.000000
1000.000000 0.000000
992.371573 127.952145
968.002145 253.840055
927.218388 375.389122
871.035166 490.557866
800.827631 597.673195
717.928129 695.274621
623.489802 781.831482
518.696540 855.644196
405.079319 915.081238
284.620176 958.979816
159.547959 986.860542
32.028142 998.755396
-95.966721 994.795449
-222.520934 974.927912
-345.567567 939.018715
-462.876496 887.247584
-572.302834 820.439149
-672.082115 740.037101
-760.889192 647.754413
-837.596672 545.215014
-900.968868 433.883739
-949.612248 315.292989
-982.276869 191.298403
-998.270137 64.091069
-997.620649 -64.049371
-980.841445 -191.018854
-948.499246 -314.923447
-900.968868 -433.883739
-838.579538 -545.854788
-762.002725 -648.702377
-672.519666 -740.518893
-571.930486 -819.905360
-462.200084 -885.951029
-345.162541 -937.918129
-222.520934 -974.927912
-96.079331 -995.962777
32.075014 -1000.217036
159.651831 -987.503025
284.434998 -958.355890
404.487367 -913.744008
518.088597 -854.641330
623.489802 -781.831482
718.770571 -696.090480
801.999612 -598.547866
871.602242 -490.877238
926.615127 -375.144888
966.587581 -253.469113
991.208454 -127.802178
